,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-0.8,-0.8,1,0,0,0,1,1
0,-0.75,-0.8,1,0,0,0,1,1
0,-0.7,-0.8,1,0,0,0,1,1
0,-0.6499999999999999,-0.8,1,0,0,0,1,1
0,-0.6,-0.8,1,0,0,0,1,1
0,-0.55,-0.8,1,1,1,0,1,1
0,-0.5,-0.8,0,0,0,0,2,2
0,-0.44999999999999996,-0.8,0,0,0,0,2,2
0,-0.3999999999999999,-0.8,0,0,0,0,2,2
0,-0.35,-0.8,0,0,0,0,2,2
0,-0.29999999999999993,-0.8,0,0,0,0,2,2
0,-0.25,-0.8,0,0,0,0,2,2
0,-0.19999999999999996,-0.8,0,0,0,0,2,2
0,-0.1499999999999999,-0.8,0,0,0,0,2,2
0,-0.09999999999999998,-0.8,0,0,0,0,2,2
0,-0.04999999999999993,-0.8,0,0,0,0,2,2
0,0.0,-0.8,0,0,0,0,2,2
0,0.050000000000000044,-0.8,0,0,0,0,2,2
0,0.10000000000000009,-0.8,0,0,0,0,2,2
0,0.15000000000000013,-0.8,0,0,0,0,2,2
0,0.20000000000000018,-0.8,0,0,0,0,2,2
0,0.25,-0.8,0,0,0,0,2,2
0,0.30000000000000004,-0.8,0,0,0,0,2,2
0,0.3500000000000001,-0.8,0,0,0,0,2,2
0,0.40000000000000013,-0.8,1,0,0,0,1,1
0,0.4500000000000002,-0.8,1,0,0,0,1,1
0,0.5,-0.8,1,0,0,0,1,1
0,0.55,-0.8,1,0,0,0,1,1
0,0.6000000000000001,-0.8,1,0,0,0,1,1
0,0.6500000000000001,-0.8,1,0,0,0,1,1
0,0.7000000000000002,-0.8,1,0,0,0,1,1
0,0.75,-0.8,1,0,0,0,1,1
0,0.8,-0.8,1,0,0,0,1,1
0,0.8500000000000001,-0.8,1,0,0,0,1,1
0,0.9000000000000001,-0.8,1,0,0,0,1,1
0,0.9500000000000002,-0.8,1,0,0,0,1,1
0,1.0,-0.8,1,0,0,0,1,1
0,-1.0,-0.75,1,0,0,0,1,1
0,-0.95,-0.75,1,0,0,0,1,1
0,-0.9,-0.75,1,0,0,0,1,1
0,-0.85,-0.75,1,0,0,0,1,1
0,-0.8,-0.75,1,0,0,0,1,1
0,-0.75,-0.75,1,0,0,0,1,1
0,-0.7,-0.75,1,0,0,0,1,1
0,-0.6499999999999999,-0.75,1,0,0,0,1,1
0,-0.6,-0.75,1,0,0,0,1,1
0,-0.55,-0.75,1,0,0,0,1,1
0,-0.5,-0.75,1,1,1,0,1,1
0,-0.44999999999999996,-0.75,0,0,0,0,2,2
0,-0.3999999999999999,-0.75,0,0,0,0,2,2
0,-0.35,-0.75,0,0,0,0,2,2
