,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,-0.33333333333333337,-0.9333333333333333,0,0,2,2,
0,-0.30000000000000004,-0.9333333333333333,0,0,2,2,
0,-0.2666666666666667,-0.9333333333333333,0,0,2,2,
0,-0.2333333333333334,-0.9333333333333333,0,0,2,2,
0,-0.19999999999999996,-0.9333333333333333,0,0,2,2,
0,-0.16666666666666663,-0.9333333333333333,0,0,2,2,
0,-0.1333333333333333,-0.9333333333333333,0,0,2,2,
0,-0.09999999999999998,-0.9333333333333333,0,0,2,2,
0,-0.06666666666666665,-0.9333333333333333,0,0,2,2,
0,-0.033333333333333326,-0.9333333333333333,0,0,2,2,
0,0.0,-0.9333333333333333,0,0,2,2,
0,0.033333333333333215,-0.9333333333333333,0,0,2,2,
0,0.06666666666666665,-0.9333333333333333,0,0,2,2,
0,0.10000000000000009,-0.9333333333333333,0,0,2,2,
0,0.1333333333333333,-0.9333333333333333,0,0,2,2,
0,0.16666666666666674,-0.9333333333333333,1,0,1,1,
0,0.19999999999999996,-0.9333333333333333,1,0,1,1,
0,0.2333333333333334,-0.9333333333333333,1,0,1,1,
0,0.2666666666666666,-0.9333333333333333,1,0,1,1,
0,0.30000000000000004,-0.9333333333333333,1,0,1,1,
0,0.33333333333333326,-0.9333333333333333,1,0,1,1,
0,0.3666666666666667,-0.9333333333333333,1,0,1,1,
0,0.3999999999999999,-0.9333333333333333,1,0,1,1,
0,0.43333333333333335,-0.9333333333333333,1,0,1,1,
0,0.46666666666666656,-0.9333333333333333,1,0,1,1,
0,0.5,-0.9333333333333333,1,0,1,1,
0,0.5333333333333332,-0.9333333333333333,1,0,1,1,
0,0.5666666666666667,-0.9333333333333333,1,0,1,1,
0,0.6000000000000001,-0.9333333333333333,1,0,1,1,
0,0.6333333333333333,-0.9333333333333333,1,0,1,1,
0,0.6666666666666667,-0.9333333333333333,1,0,1,1,
0,0.7,-0.9333333333333333,1,0,1,1,
0,0.7333333333333334,-0.9333333333333333,1,0,1,1,
0,0.7666666666666666,-0.9333333333333333,1,0,1,1,
0,0.8,-0.9333333333333333,1,0,1,1,
0,0.8333333333333333,-0.9333333333333333,1,0,1,1,
0,0.8666666666666667,-0.9333333333333333,1,0,1,1,
0,0.8999999999999999,-0.9333333333333333,1,0,1,1,
0,0.9333333333333333,-0.9333333333333333,1,0,1,1,
0,0.9666666666666666,-0.9333333333333333,1,0,1,1,
0,1.0,-0.9333333333333333,1,0,1,1,
0,-1.0,-0.9,1,0,1,1,
0,-0.9666666666666667,-0.9,1,0,1,1,
0,-0.9333333333333333,-0.9,1,0,1,1,
0,-0.9,-0.9,1,0,1,1,
0,-0.8666666666666667,-0.9,1,0,1,1,
0,-0.8333333333333334,-0.9,1,0,1,1,
0,-0.8,-0.9,1,0,1,1,
0,-0.7666666666666666,-0.9,1,0,1,1,
0,-0.7333333333333334,-0.9,1,0,1,1,
0,-0.7,-0.9,1,0,1,1,
0,-0.6666666666666667,-0.9,1,0,1,1,
0,-0.6333333333333333,-0.9,1,1,3,3,0.5730758267973179
0,-0.6,-0.9,0,0,3,3,
0,-0.5666666666666667,-0.9,0,0,3,3,
0,-0.5333333333333333,-0.9,0,0,3,3,
0,-0.5,-0.9,0,0,3,3,
0,-0.4666666666666667,-0.9,0,0,3,3,
0,-0.43333333333333335,-0.9,0,0,4,3,
0,-0.4,-0.9,0,0,3,4,
0,-0.3666666666666667,-0.9,0,0,2,2,
0,-0.33333333333333337,-0.9,0,0,2,2,
0,-0.30000000000000004,-0.9,0,0,2,2,
0,-0.2666666666666667,-0.9,0,0,2,2,
0,-0.2333333333333334,-0.9,0,0,2,2,
0,-0.19999999999999996,-0.9,0,0,2,2,
0,-0.16666666666666663,-0.9,0,0,2,2,
0,-0.1333333333333333,-0.9,0,0,2,2,
0,-0.09999999999999998,-0.9,0,0,2,2,
0,-0.06666666666666665,-0.9,0,0,2,2,
0,-0.033333333333333326,-0.9,0,0,2,2,
0,0.0,-0.9,0,0,2,2,
0,0.033333333333333215,-0.9,0,0,2,2,
0,0.06666666666666665,-0.9,0,0,2,2,
0,0.10000000000000009,-0.9,0,0,2,2,
0,0.1333333333333333,-0.9,0,0,2,2,
0,0.16666666666666674,-0.9,1,0,1,1,
0,0.19999999999999996,-0.9,1,0,1,1,
0,0.2333333333333334,-0.9,1,0,1,1,
0,0.2666666666666666,-0.9,1,0,1,1,
0,0.30000000000000004,-0.9,1,0,1,1,
0,0.33333333333333326,-0.9,1,0,1,1,
0,0.3666666666666667,-0.9,1,0,1,1,
0,0.3999999999999999,-0.9,1,0,1,1,
0,0.43333333333333335,-0.9,1,0,1,1,
0,0.46666666666666656,-0.9,1,0,1,1,
0,0.5,-0.9,1,0,1,1,
0,0.5333333333333332,-0.9,1,0,1,1,
0,0.5666666666666667,-0.9,1,0,1,1,
0,0.6000000000000001,-0.9,1,0,1,1,
0,0.6333333333333333,-0.9,1,0,1,1,
0,0.6666666666666667,-0.9,1,0,1,1,
0,0.7,-0.9,1,0,1,1,
0,0.7333333333333334,-0.9,1,0,1,1,
0,0.7666666666666666,-0.9,1,0,1,1,
0,0.8,-0.9,1,0,1,1,
0,0.8333333333333333,-0.9,1,0,1,1,
0,0.8666666666666667,-0.9,1,0,1,1,
0,0.8999999999999999,-0.9,1,0,1,1,
0,0.9333333333333333,-0.9,1,0,1,1,
0,0.9666666666666666,-0.9,1,0,1,1,
0,1.0,-0.9,1,0,1,1,
0,-1.0,-0.8666666666666667,1,0,1,1,
0,-0.9666666666666667,-0.8666666666666667,1,0,1,1,
0,-0.9333333333333333,-0.8666666666666667,1,0,1,1,
0,-0.9,-0.8666666666666667,1,0,1,1,
0,-0.8666666666666667,-0.8666666666666667,1,0,1,1,
0,-0.8333333333333334,-0.8666666666666667,1,0,1,1,
0,-0.8,-0.8666666666666667,1,0,1,1,
0,-0.7666666666666666,-0.8666666666666667,1,0,1,1,
0,-0.7333333333333334,-0.8666666666666667,1,0,1,1,
0,-0.7,-0.8666666666666667,1,0,1,1,
0,-0.6666666666666667,-0.8666666666666667,1,0,1,1,
0,-0.6333333333333333,-0.8666666666666667,1,1,3,3,0.8125738505453977
0,-0.6,-0.8666666666666667,1,1,3,3,0.619534697952124
0,-0.5666666666666667,-0.8666666666666667,0,0,3,3,
0,-0.5333333333333333,-0.8666666666666667,0,0,3,3,
0,-0.5,-0.8666666666666667,0,0,3,3,
0,-0.4666666666666667,-0.8666666666666667,0,0,3,3,
0,-0.43333333333333335,-0.8666666666666667,0,0,3,3,
0,-0.4,-0.8666666666666667,0,0,3,3,
0,-0.3666666666666667,-0.8666666666666667,0,0,3,3,
0,-0.33333333333333337,-0.8666666666666667,0,0,2,2,
0,-0.30000000000000004,-0.8666666666666667,0,0,2,2,
0,-0.2666666666666667,-0.8666666666666667,0,0,2,2,
0,-0.2333333333333334,-0.8666666666666667,0,0,2,2,
0,-0.19999999999999996,-0.8666666666666667,0,0,2,2,
0,-0.16666666666666663,-0.8666666666666667,0,0,2,2,
0,-0.1333333333333333,-0.8666666666666667,0,0,2,2,
0,-0.09999999999999998,-0.8666666666666667,0,0,2,2,
0,-0.06666666666666665,-0.8666666666666667,0,0,2,2,
0,-0.033333333333333326,-0.8666666666666667,0,0,2,2,
0,0.0,-0.8666666666666667,0,0,2,2,
0,0.033333333333333215,-0.8666666666666667,0,0,2,2,
0,0.06666666666666665,-0.8666666666666667,0,0,2,2,
0,0.10000000000000009,-0.8666666666666667,0,0,2,2,
0,0.1333333333333333,-0.8666666666666667,0,0,2,2,
0,0.16666666666666674,-0.8666666666666667,1,0,1,1,
0,0.19999999999999996,-0.8666666666666667,1,0,1,1,
0,0.2333333333333334,-0.8666666666666667,1,0,1,1,
0,0.2666666666666666,-0.8666666666666667,1,0,1,1,
0,0.30000000000000004,-0.8666666666666667,1,0,1,1,
0,0.33333333333333326,-0.8666666666666667,1,0,1,1,
0,0.3666666666666667,-0.8666666666666667,1,0,1,1,
0,0.3999999999999999,-0.8666666666666667,1,0,1,1,
0,0.43333333333333335,-0.8666666666666667,1,0,1,1,
0,0.46666666666666656,-0.8666666666666667,1,0,1,1,
0,0.5,-0.8666666666666667,1,0,1,1,
0,0.5333333333333332,-0.8666666666666667,1,0,1,1,
0,0.5666666666666667,-0.8666666666666667,1,0,1,1,
0,0.6000000000000001,-0.8666666666666667,1,0,1,1,
0,0.6333333333333333,-0.8666666666666667,1,0,1,1,
0,0.6666666666666667,-0.8666666666666667,1,0,1,1,
0,0.7,-0.8666666666666667,1,0,1,1,
0,0.7333333333333334,-0.8666666666666667,1,0,1,1,
0,0.7666666666666666,-0.8666666666666667,1,0,1,1,
0,0.8,-0.8666666666666667,1,0,1,1,
0,0.8333333333333333,-0.8666666666666667,1,0,1,1,
0,0.8666666666666667,-0.8666666666666667,1,0,1,1,
0,0.8999999999999999,-0.8666666666666667,1,0,1,1,
0,0.9333333333333333,-0.8666666666666667,1,0,1,1,
0,0.9666666666666666,-0.8666666666666667,1,0,1,1,
0,1.0,-0.8666666666666667,1,0,1,1,
0,-1.0,-0.8333333333333334,1,0,1,1,
0,-0.9666666666666667,-0.8333333333333334,1,0,1,1,
0,-0.9333333333333333,-0.8333333333333334,1,0,1,1,
0,-0.9,-0.8333333333333334,1,0,1,1,
0,-0.8666666666666667,-0.8333333333333334,1,0,1,1,
0,-0.8333333333333334,-0.8333333333333334,1,0,1,1,
0,-0.8,-0.8333333333333334,1,0,1,1,
0,-0.7666666666666666,-0.8333333333333334,1,0,1,1,
0,-0.7333333333333334,-0.8333333333333334,1,0,1,1,
0,-0.7,-0.8333333333333334,1,0,1,1,
0,-0.6666666666666667,-0.8333333333333334,1,0,1,1,
0,-0.6333333333333333,-0.8333333333333334,1,0,1,1,
0,-0.6,-0.8333333333333334,1,1,3,4,0.7048019145321024
0,-0.5666666666666667,-0.8333333333333334,0,0,4,3,
0,-0.5333333333333333,-0.8333333333333334,0,0,3,3,
0,-0.5,-0.8333333333333334,0,0,4,4,
0,-0.4666666666666667,-0.8333333333333334,0,0,3,3,
0,-0.43333333333333335,-0.8333333333333334,0,0,3,3,
0,-0.4,-0.8333333333333334,0,0,3,3,
0,-0.3666666666666667,-0.8333333333333334,0,0,4,3,
0,-0.33333333333333337,-0.8333333333333334,0,0,3,3,
0,-0.30000000000000004,-0.8333333333333334,0,0,2,2,
0,-0.2666666666666667,-0.8333333333333334,0,0,2,2,
0,-0.2333333333333334,-0.8333333333333334,0,0,2,2,
0,-0.19999999999999996,-0.8333333333333334,0,0,2,2,
0,-0.16666666666666663,-0.8333333333333334,0,0,2,2,
0,-0.1333333333333333,-0.8333333333333334,0,0,2,2,
0,-0.09999999999999998,-0.8333333333333334,0,0,2,2,
0,-0.06666666666666665,-0.8333333333333334,0,0,2,2,
0,-0.033333333333333326,-0.8333333333333334,0,0,2,2,
0,0.0,-0.8333333333333334,0,0,2,2,
0,0.033333333333333215,-0.8333333333333334,0,0,2,2,
0,0.06666666666666665,-0.8333333333333334,0,0,2,2,
0,0.10000000000000009,-0.8333333333333334,0,0,2,2,
0,0.1333333333333333,-0.8333333333333334,0,0,2,2,
0,0.16666666666666674,-0.8333333333333334,1,0,1,1,
0,0.19999999999999996,-0.8333333333333334,1,0,1,1,
0,0.2333333333333334,-0.8333333333333334,1,0,1,1,
0,0.2666666666666666,-0.8333333333333334,1,0,1,1,
0,0.30000000000000004,-0.8333333333333334,1,0,1,1,
0,0.33333333333333326,-0.8333333333333334,1,0,1,1,
0,0.3666666666666667,-0.8333333333333334,1,0,1,1,
0,0.3999999999999999,-0.8333333333333334,1,0,1,1,
0,0.43333333333333335,-0.8333333333333334,1,0,1,1,
0,0.46666666666666656,-0.8333333333333334,1,0,1,1,
0,0.5,-0.8333333333333334,1,0,1,1,
0,0.5333333333333332,-0.8333333333333334,1,0,1,1,
0,0.5666666666666667,-0.8333333333333334,1,0,1,1,
0,0.6000000000000001,-0.8333333333333334,1,0,1,1,
0,0.6333333333333333,-0.8333333333333334,1,0,1,1,
0,0.6666666666666667,-0.8333333333333334,1,0,1,1,
0,0.7,-0.8333333333333334,1,0,1,1,
0,0.7333333333333334,-0.8333333333333334,1,0,1,1,
0,0.7666666666666666,-0.8333333333333334,1,0,1,1,
0,0.8,-0.8333333333333334,1,0,1,1,
0,0.8333333333333333,-0.8333333333333334,1,0,1,1,
0,0.8666666666666667,-0.8333333333333334,1,0,1,1,
0,0.8999999999999999,-0.8333333333333334,1,0,1,1,
0,0.9333333333333333,-0.8333333333333334,1,0,1,1,
0,0.9666666666666666,-0.8333333333333334,1,0,1,1,
0,1.0,-0.8333333333333334,1,0,1,1,
0,-1.0,-0.8,1,0,1,1,
0,-0.9666666666666667,-0.8,1,0,1,1,
0,-0.9333333333333333,-0.8,1,0,1,1,
0,-0.9,-0.8,1,0,1,1,
0,-0.8666666666666667,-0.8,1,0,1,1,
0,-0.8333333333333334,-0.8,1,0,1,1,
0,-0.8,-0.8,1,0,1,1,
0,-0.7666666666666666,-0.8,1,0,1,1,
0,-0.7333333333333334,-0.8,1,0,1,1,
0,-0.7,-0.8,1,0,1,1,
0,-0.6666666666666667,-0.8,1,0,1,1,
0,-0.6333333333333333,-0.8,1,0,1,1,
0,-0.6,-0.8,1,1,3,3,0.8973390772693327
0,-0.5666666666666667,-0.8,1,1,3,3,0.716193815596459
0,-0.5333333333333333,-0.8,0,0,3,3,
0,-0.5,-0.8,0,0,3,3,
0,-0.4666666666666667,-0.8,0,0,3,3,
0,-0.43333333333333335,-0.8,0,0,3,3,
0,-0.4,-0.8,0,0,3,3,
0,-0.3666666666666667,-0.8,0,0,3,3,
0,-0.33333333333333337,-0.8,0,0,3,3,
0,-0.30000000000000004,-0.8,0,0,3,3,
0,-0.2666666666666667,-0.8,0,0,2,2,
0,-0.2333333333333334,-0.8,0,0,2,2,
0,-0.19999999999999996,-0.8,0,0,2,2,
0,-0.16666666666666663,-0.8,0,0,2,2,
0,-0.1333333333333333,-0.8,0,0,2,2,
0,-0.09999999999999998,-0.8,0,0,2,2,
0,-0.06666666666666665,-0.8,0,0,2,2,
0,-0.033333333333333326,-0.8,0,0,2,2,
0,0.0,-0.8,0,0,2,2,
0,0.033333333333333215,-0.8,0,0,2,2,
0,0.06666666666666665,-0.8,0,0,2,2,
0,0.10000000000000009,-0.8,0,0,2,2,
0,0.1333333333333333,-0.8,0,0,2,2,
0,0.16666666666666674,-0.8,1,0,1,1,
0,0.19999999999999996,-0.8,1,0,1,1,
0,0.2333333333333334,-0.8,1,0,1,1,
0,0.2666666666666666,-0.8,1,0,1,1,
0,0.30000000000000004,-0.8,1,0,1,1,
0,0.33333333333333326,-0.8,1,0,1,1,
0,0.3666666666666667,-0.8,1,0,1,1,
0,0.3999999999999999,-0.8,1,0,1,1,
0,0.43333333333333335,-0.8,1,0,1,1,
0,0.46666666666666656,-0.8,1,0,1,1,
0,0.5,-0.8,1,0,1,1,
0,0.5333333333333332,-0.8,1,0,1,1,
0,0.5666666666666667,-0.8,1,0,1,1,
0,0.6000000000000001,-0.8,1,0,1,1,
0,0.6333333333333333,-0.8,1,0,1,1,
0,0.6666666666666667,-0.8,1,0,1,1,
0,0.7,-0.8,1,0,1,1,
0,0.7333333333333334,-0.8,1,0,1,1,
0,0.7666666666666666,-0.8,1,0,1,1,
0,0.8,-0.8,1,0,1,1,
0,0.8333333333333333,-0.8,1,0,1,1,
0,0.8666666666666667,-0.8,1,0,1,1,
0,0.8999999999999999,-0.8,1,0,1,1,
0,0.9333333333333333,-0.8,1,0,1,1,
0,0.9666666666666666,-0.8,1,0,1,1,
0,1.0,-0.8,1,0,1,1,
0,-1.0,-0.7666666666666666,1,0,1,1,
0,-0.9666666666666667,-0.7666666666666666,1,0,1,1,
0,-0.9333333333333333,-0.7666666666666666,1,0,1,1,
0,-0.9,-0.7666666666666666,1,0,1,1,
0,-0.8666666666666667,-0.7666666666666666,1,0,1,1,
0,-0.8333333333333334,-0.7666666666666666,1,0,1,1,
0,-0.8,-0.7666666666666666,1,0,1,1,
0,-0.7666666666666666,-0.7666666666666666,1,0,1,1,
0,-0.7333333333333334,-0.7666666666666666,1,0,1,1,
0,-0.7,-0.7666666666666666,1,0,1,1,
0,-0.6666666666666667,-0.7666666666666666,1,0,1,1,
0,-0.6333333333333333,-0.7666666666666666,1,0,1,1,
0,-0.6,-0.7666666666666666,1,0,1,1,
0,-0.5666666666666667,-0.7666666666666666,1,1,3,3,0.8228955331709598
0,-0.5333333333333333,-0.7666666666666666,1,1,3,3,0.7408789499171559
0,-0.5,-0.7666666666666666,0,0,3,3,
0,-0.4666666666666667,-0.7666666666666666,0,0,3,3,
0,-0.43333333333333335,-0.7666666666666666,0,0,3,3,
0,-0.4,-0.7666666666666666,0,0,3,3,
0,-0.3666666666666667,-0.7666666666666666,0,0,3,3,
0,-0.33333333333333337,-0.7666666666666666,0,0,3,3,
0,-0.30000000000000004,-0.7666666666666666,0,0,3,3,
0,-0.2666666666666667,-0.7666666666666666,0,0,3,3,
0,-0.2333333333333334,-0.7666666666666666,0,0,2,2,
0,-0.19999999999999996,-0.7666666666666666,0,0,2,2,
0,-0.16666666666666663,-0.7666666666666666,0,0,2,2,
0,-0.1333333333333333,-0.7666666666666666,0,0,2,2,
0,-0.09999999999999998,-0.7666666666666666,0,0,2,2,
0,-0.06666666666666665,-0.7666666666666666,0,0,2,2,
0,-0.033333333333333326,-0.7666666666666666,0,0,2,2,
0,0.0,-0.7666666666666666,0,0,2,2,
0,0.033333333333333215,-0.7666666666666666,0,0,2,2,
0,0.06666666666666665,-0.7666666666666666,0,0,2,2,
0,0.10000000000000009,-0.7666666666666666,0,0,2,2,
0,0.1333333333333333,-0.7666666666666666,0,0,2,2,
0,0.16666666666666674,-0.7666666666666666,1,0,1,1,
0,0.19999999999999996,-0.7666666666666666,1,0,1,1,
0,0.2333333333333334,-0.7666666666666666,1,0,1,1,
0,0.2666666666666666,-0.7666666666666666,1,0,1,1,
0,0.30000000000000004,-0.7666666666666666,1,0,1,1,
0,0.33333333333333326,-0.7666666666666666,1,0,1,1,
0,0.3666666666666667,-0.7666666666666666,1,0,1,1,
0,0.3999999999999999,-0.7666666666666666,1,0,1,1,
0,0.43333333333333335,-0.7666666666666666,1,0,1,1,
0,0.46666666666666656,-0.7666666666666666,1,0,1,1,
0,0.5,-0.7666666666666666,1,0,1,1,
0,0.5333333333333332,-0.7666666666666666,1,0,1,1,
0,0.5666666666666667,-0.7666666666666666,1,0,1,1,
0,0.6000000000000001,-0.7666666666666666,1,0,1,1,
0,0.6333333333333333,-0.7666666666666666,1,0,1,1,
0,0.6666666666666667,-0.7666666666666666,1,0,1,1,
0,0.7,-0.7666666666666666,1,0,1,1,
0,0.7333333333333334,-0.7666666666666666,1,0,1,1,
0,0.7666666666666666,-0.7666666666666666,1,0,1,1,
0,0.8,-0.7666666666666666,1,0,1,1,
0,0.8333333333333333,-0.7666666666666666,1,0,1,1,
0,0.8666666666666667,-0.7666666666666666,1,0,1,1,
0,0.8999999999999999,-0.7666666666666666,1,0,1,1,
0,0.9333333333333333,-0.7666666666666666,1,0,1,1,
0,0.9666666666666666,-0.7666666666666666,1,0,1,1,
0,1.0,-0.7666666666666666,1,0,1,1,
0,-1.0,-0.7333333333333334,1,0,1,1,
0,-0.9666666666666667,-0.7333333333333334,1,0,1,1,
0,-0.9333333333333333,-0.7333333333333334,1,0,1,1,
0,-0.9,-0.7333333333333334,1,0,1,1,
0,-0.8666666666666667,-0.7333333333333334,1,0,1,1,
0,-0.8333333333333334,-0.7333333333333334,1,0,1,1,
0,-0.8,-0.7333333333333334,1,0,1,1,
0,-0.7666666666666666,-0.7333333333333334,1,0,1,1,
0,-0.7333333333333334,-0.7333333333333334,1,0,1,1,
0,-0.7,-0.7333333333333334,1,0,1,1,
0,-0.6666666666666667,-0.7333333333333334,1,0,1,1,
0,-0.6333333333333333,-0.7333333333333334,1,0,1,1,
