,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-1.5,-1.0,1,0,0,1,0
0,-1.5,-0.5999999999999996,1,0,0,1,0
0,-1.5,-0.1999999999999993,1,0,0,1,0
0,-1.5,0.20000000000000018,1,0,0,1,0
0,-1.5,0.6000000000000005,1,0,0,1,0
0,-1.5,1.0,1,0,0,1,0
0,-1.5,1.4000000000000004,1,0,0,1,0
0,-1.5,1.8000000000000007,1,0,0,1,0
0,-1.5,2.2,1,0,0,1,0
0,-1.5,2.6000000000000005,1,0,0,1,0
0,-1.5,3.0,0,0,0,1,0
0,-1.2000000000000002,-5.0,0,0,0,2,0
0,-1.2000000000000002,-4.6,0,0,0,2,0
0,-1.2000000000000002,-4.2,0,0,0,2,0
0,-1.2000000000000002,-3.8,0,0,0,2,0
0,-1.2000000000000002,-3.4,0,0,0,2,0
0,-1.2000000000000002,-3.0,0,0,0,2,0
0,-1.2000000000000002,-2.5999999999999996,0,0,0,2,0
0,-1.2000000000000002,-2.1999999999999997,0,0,0,3,0
0,-1.2000000000000002,-1.7999999999999998,1,0,0,1,0
0,-1.2000000000000002,-1.4,1,0,0,1,0
0,-1.2000000000000002,-1.0,1,0,0,1,0
0,-1.2000000000000002,-0.5999999999999996,1,0,0,1,0
0,-1.2000000000000002,-0.1999999999999993,1,0,0,1,0
0,-1.2000000000000002,0.20000000000000018,1,0,0,1,0
0,-1.2000000000000002,0.6000000000000005,1,0,0,1,0
0,-1.2000000000000002,1.0,1,0,0,1,0
0,-1.2000000000000002,1.4000000000000004,1,0,0,1,0
0,-1.2000000000000002,1.8000000000000007,1,0,0,1,0
0,-1.2000000000000002,2.2,1,0,0,1,0
0,-1.2000000000000002,2.6000000000000005,0,0,0,1,0
0,-1.2000000000000002,3.0,0,0,0,1,0
0,-0.8999999999999999,-5.0,0,0,0,3,0
0,-0.8999999999999999,-4.6,0,0,0,2,0
0,-0.8999999999999999,-4.2,0,0,0,2,0
0,-0.8999999999999999,-3.8,0,0,0,2,0
0,-0.8999999999999999,-3.4,0,0,0,2,0
0,-0.8999999999999999,-3.0,0,0,0,2,0
0,-0.8999999999999999,-2.5999999999999996,0,0,0,2,0
0,-0.8999999999999999,-2.1999999999999997,0,0,0,2,0
0,-0.8999999999999999,-1.7999999999999998,1,1,0,3,3
0,-0.8999999999999999,-1.4,1,0,0,1,0
0,-0.8999999999999999,-1.0,1,0,0,1,0
0,-0.8999999999999999,-0.5999999999999996,1,0,0,1,0
0,-0.8999999999999999,-0.1999999999999993,1,0,0,1,0
0,-0.8999999999999999,0.20000000000000018,1,0,0,1,0
0,-0.8999999999999999,0.6000000000000005,1,0,0,1,0
0,-0.8999999999999999,1.0,1,0,0,1,0
0,-0.8999999999999999,1.4000000000000004,1,0,0,1,0
0,-0.8999999999999999,1.8000000000000007,1,0,0,1,0
0,-0.8999999999999999,2.2,0,0,0,1,0
0,-0.8999999999999999,2.6000000000000005,0,0,0,1,0
0,-0.8999999999999999,3.0,0,0,0,1,0
0,-0.6000000000000001,-5.0,1,0,0,1,0
0,-0.6000000000000001,-4.6,1,0,0,1,0
0,-0.6000000000000001,-4.2,0,0,0,2,0
0,-0.6000000000000001,-3.8,0,0,0,2,0
0,-0.6000000000000001,-3.4,0,0,0,2,0
0,-0.6000000000000001,-3.0,0,0,0,2,0
0,-0.6000000000000001,-2.5999999999999996,0,0,0,2,0
0,-0.6000000000000001,-2.1999999999999997,0,0,0,2,0
