,I_e,I_i,dom_frequ,up_space,down_space
0,-0.4888888888888889,-1.1555555555555554,5.0,3.8281250000000004,6.171875
0,-0.4888888888888889,-1.1111111111111112,6.0,3.2552083333333335,5.078125
0,-0.4888888888888889,-1.0666666666666669,5.0,3.5937499999999996,6.406249999999999
0,-0.4888888888888889,-1.022222222222222,6.0,3.125,5.208333333333334
0,-0.4888888888888889,-0.9777777777777776,5.0,3.359375,6.640625
0,-0.4888888888888889,-0.9333333333333332,5.0,3.28125,6.71875
0,-0.4888888888888889,-0.8888888888888888,5.0,3.125,6.875000000000001
0,-0.4888888888888889,-0.8444444444444443,5.0,2.96875,7.03125
0,-0.4888888888888889,-0.8,5.0,2.8125,7.187499999999999
0,-0.4888888888888889,-0.7555555555555555,5.0,2.65625,7.34375
0,-0.4444444444444444,-2.0,7.0,7.142857142857142,0.0
0,-0.4444444444444444,-1.9555555555555555,6.0,5.338541666666666,2.994791666666667
0,-0.4444444444444444,-1.9111111111111112,6.0,5.338541666666666,2.994791666666667
0,-0.4444444444444444,-1.8666666666666667,6.0,5.078125,3.2552083333333335
0,-0.4444444444444444,-1.8222222222222224,6.0,4.947916666666666,3.3854166666666665
0,-0.4444444444444444,-1.7777777777777777,6.0,4.817708333333334,3.515625
0,-0.4444444444444444,-1.7333333333333334,6.0,4.817708333333334,3.515625
0,-0.4444444444444444,-1.6888888888888889,6.0,4.6875,3.6458333333333335
0,-0.4444444444444444,-1.6444444444444444,6.0,4.6875,3.6458333333333335
0,-0.4444444444444444,-1.6,5.0,5.234375,4.765625
0,-0.4444444444444444,-1.5555555555555556,6.0,4.427083333333334,3.90625
0,-0.4444444444444444,-1.511111111111111,5.0,5.078125,4.921875
0,-0.4444444444444444,-1.4666666666666668,5.0,4.921875,5.078125
0,-0.4444444444444444,-1.422222222222222,6.0,4.036458333333334,4.296875
0,-0.4444444444444444,-1.3777777777777778,5.0,4.6875,5.3125
0,-0.4444444444444444,-1.3333333333333333,6.0,3.90625,4.427083333333334
0,-0.4444444444444444,-1.2888888888888888,5.0,4.453125,5.546875
0,-0.4444444444444444,-1.2444444444444445,6.0,3.7760416666666665,4.557291666666666
0,-0.4444444444444444,-1.2,6.0,3.6458333333333335,4.6875
0,-0.4444444444444444,-1.1555555555555554,5.0,4.0625,5.9375
0,-0.4444444444444444,-1.1111111111111112,5.0,3.9843749999999996,6.015625
0,-0.4444444444444444,-1.0666666666666669,5.0,3.90625,6.09375
0,-0.4444444444444444,-1.022222222222222,5.0,3.75,6.25
0,-0.4444444444444444,-0.9777777777777776,5.0,3.5937499999999996,6.406249999999999
0,-0.4444444444444444,-0.9333333333333332,5.0,3.515625,6.484375000000001
0,-0.4444444444444444,-0.8888888888888888,5.0,3.4375000000000004,6.5625
0,-0.4444444444444444,-0.8444444444444443,6.0,2.864583333333333,5.46875
0,-0.4444444444444444,-0.8,5.0,3.2031249999999996,6.796874999999999
0,-0.4444444444444444,-0.7555555555555555,5.0,2.96875,7.03125
0,-0.4444444444444444,-0.711111111111111,5.0,2.8125,7.187499999999999
0,-0.4444444444444444,-0.6666666666666665,5.0,2.578125,7.421875
0,-0.3999999999999999,-1.9555555555555555,6.0,5.598958333333334,2.734375
0,-0.3999999999999999,-1.9111111111111112,6.0,5.46875,2.864583333333333
0,-0.3999999999999999,-1.8666666666666667,6.0,5.338541666666666,2.994791666666667
0,-0.3999999999999999,-1.8222222222222224,6.0,5.208333333333334,3.125
0,-0.3999999999999999,-1.7777777777777777,6.0,5.208333333333334,3.125
0,-0.3999999999999999,-1.7333333333333334,6.0,4.947916666666666,3.3854166666666665
0,-0.3999999999999999,-1.6888888888888889,6.0,4.947916666666666,3.3854166666666665
0,-0.3999999999999999,-1.6444444444444444,6.0,4.6875,3.6458333333333335
0,-0.3999999999999999,-1.6,5.0,5.546875,4.453125
0,-0.3999999999999999,-1.5555555555555556,6.0,4.557291666666666,3.7760416666666665
0,-0.3999999999999999,-1.511111111111111,6.0,4.427083333333334,3.90625
0,-0.3999999999999999,-1.4666666666666668,5.0,5.234375,4.765625
0,-0.3999999999999999,-1.422222222222222,5.0,5.15625,4.84375
0,-0.3999999999999999,-1.3777777777777778,6.0,4.296875,4.036458333333334
0,-0.3999999999999999,-1.3333333333333333,6.0,4.166666666666666,4.166666666666666
0,-0.3999999999999999,-1.2888888888888888,5.0,4.765625,5.234375
0,-0.3999999999999999,-1.2444444444444445,5.0,4.609375,5.390625
0,-0.3999999999999999,-1.2,5.0,4.53125,5.46875
0,-0.3999999999999999,-1.1555555555555554,5.0,4.375,5.625
0,-0.3999999999999999,-1.1111111111111112,6.0,3.7760416666666665,4.557291666666666
0,-0.3999999999999999,-1.0666666666666669,5.0,4.140625,5.859375
0,-0.3999999999999999,-1.022222222222222,5.0,4.0625,5.9375
0,-0.3999999999999999,-0.9777777777777776,6.0,3.3854166666666665,4.947916666666666
0,-0.3999999999999999,-0.9333333333333332,5.0,3.8281250000000004,6.171875
0,-0.3999999999999999,-0.8888888888888888,6.0,3.2552083333333335,5.078125
0,-0.3999999999999999,-0.8444444444444443,6.0,3.125,5.208333333333334
0,-0.3999999999999999,-0.8,6.0,2.994791666666667,5.338541666666666
0,-0.3999999999999999,-0.7555555555555555,6.0,2.864583333333333,5.46875
0,-0.3999999999999999,-0.711111111111111,5.0,3.125,6.875000000000001
0,-0.3999999999999999,-0.6666666666666665,6.0,2.473958333333333,5.859375
0,-0.3999999999999999,-0.6222222222222222,4.0,2.734375,9.765625
0,-0.3555555555555554,-1.9111111111111112,5.0,6.875000000000001,3.125
0,-0.3555555555555554,-1.8666666666666667,6.0,5.598958333333334,2.734375
0,-0.3555555555555554,-1.8222222222222224,6.0,5.46875,2.864583333333333
0,-0.3555555555555554,-1.7777777777777777,5.0,6.406249999999999,3.5937499999999996
0,-0.3555555555555554,-1.7333333333333334,6.0,5.208333333333334,3.125
0,-0.3555555555555554,-1.6888888888888889,6.0,5.078125,3.2552083333333335
0,-0.3555555555555554,-1.6444444444444444,5.0,6.015625,3.9843749999999996
0,-0.3555555555555554,-1.6,6.0,4.947916666666666,3.3854166666666665
0,-0.3555555555555554,-1.5555555555555556,5.0,5.78125,4.21875
0,-0.3555555555555554,-1.511111111111111,6.0,4.6875,3.6458333333333335
